,Model,Scenario
0,AIM/CGE 2.0,SSP1-26
1,AIM/CGE 2.0,SSP1-34
2,AIM/CGE 2.0,SSP1-45
3,AIM/CGE 2.0,SSP1-Baseline
4,AIM/CGE 2.0,SSP4-26
5,AIM/CGE 2.0,SSP4-34
6,AIM/CGE 2.0,SSP4-45
7,AIM/CGE 2.0,SSP4-Baseline
8,AIM/CGE 2.1,CD-LINKS_INDC2030i_1600
9,AIM/CGE 2.1,CD-LINKS_INDCi
10,AIM/CGE 2.1,CD-LINKS_NDC2030i_1000
11,AIM/CGE 2.1,CD-LINKS_NPi2020_1000
12,AIM/CGE 2.1,CD-LINKS_NPi2020_1600
13,AIM/CGE 2.1,CD-LINKS_NPi2020_400
14,AIM/CGE 2.1,CO_Bridge
15,AIM/CGE 2.1,CO_CurPol
16,AIM/CGE 2.2,EN_INDCi2030_1000f
17,AIM/CGE 2.2,EN_INDCi2030_1200
18,AIM/CGE 2.2,EN_INDCi2030_1200f
19,AIM/CGE 2.2,EN_INDCi2030_1400
20,AIM/CGE 2.2,EN_INDCi2030_1400f
21,AIM/CGE 2.2,EN_INDCi2030_1600
22,AIM/CGE 2.2,EN_INDCi2030_1600f
23,AIM/CGE 2.2,EN_INDCi2030_1800
24,AIM/CGE 2.2,EN_INDCi2030_1800f
25,AIM/CGE 2.2,EN_INDCi2030_800f
26,AIM/CGE 2.2,EN_INDCi2030_900f
27,AIM/CGE 2.2,EN_INDCi2100
28,AIM/CGE 2.2,EN_NPi2020_1000
29,AIM/CGE 2.2,EN_NPi2020_1000f
30,AIM/CGE 2.2,EN_NPi2020_1200
31,AIM/CGE 2.2,EN_NPi2020_1200f
32,AIM/CGE 2.2,EN_NPi2020_1400
33,AIM/CGE 2.2,EN_NPi2020_1400f
34,AIM/CGE 2.2,EN_NPi2020_1600
35,AIM/CGE 2.2,EN_NPi2020_1600f
36,AIM/CGE 2.2,EN_NPi2020_1800
37,AIM/CGE 2.2,EN_NPi2020_1800f
38,AIM/CGE 2.2,EN_NPi2020_300f
39,AIM/CGE 2.2,EN_NPi2020_400f
40,AIM/CGE 2.2,EN_NPi2020_500f
41,AIM/CGE 2.2,EN_NPi2020_600
42,AIM/CGE 2.2,EN_NPi2020_600f
43,AIM/CGE 2.2,EN_NPi2020_700
44,AIM/CGE 2.2,EN_NPi2020_700f
45,AIM/CGE 2.2,EN_NPi2020_800
46,AIM/CGE 2.2,EN_NPi2020_800f
47,AIM/CGE 2.2,EN_NPi2020_900
48,AIM/CGE 2.2,EN_NPi2020_900f
49,AIM/CGE 2.2,EN_NPi2100
50,AIM/Hub-Global 2.0,1.5C
51,AIM/Hub-Global 2.0,2.5C
52,AIM/Hub-Global 2.0,2C
53,AIM/Hub-Global 2.0,Baseline
54,AIM/Hub-Global 2.0,WB2C
55,C-ROADS-5.005,Ratchet-1.5-allCDR
56,C-ROADS-5.005,Ratchet-1.5-limCDR
57,C-ROADS-5.005,Ratchet-1.5-limCDR-noOS
58,C-ROADS-5.005,Ratchet-1.5-noCDR
59,C-ROADS-5.005,Ratchet-1.5-noCDR-noOS
60,C-ROADS-5.005,Reference
61,COFFEE 1.1,CO_2Deg2020
62,COFFEE 1.1,CO_2Deg2030
63,COFFEE 1.1,CO_BAU
64,COFFEE 1.1,CO_Bridge
65,COFFEE 1.1,CO_CurPol
66,COFFEE 1.1,CO_GPP
67,COFFEE 1.1,CO_NDCplus
